,County,ID
1072,Nemaha,14
1073,Neosho,15
1074,Neshoba,8
1075,Ness,1
1076,Nevada,3841
1077,New Castle,3780
1078,New Hanover,312
1079,New Haven,7409
1080,New Kent,1236
1081,New London,1496
1082,New Madrid,9
1083,New York,7155
1084,Newaygo,26
1085,Newberry,683
1086,Newport,20
1087,Newport News,1871
1088,Newton,405
1089,Nez Perce,36
1090,Niagara,299
1091,Nicholas,33
1092,Nicollet,879
1093,Niobrara,4
1094,Noble,70
1095,Nobles,579
1096,Nodaway,8
1097,Nolan,12
1098,Norfolk,6046
1099,Norfolk City,6
1100,Northampton,1424
1101,Northumberland,1103
1102,Norton,3
1103,Nottoway,102
1104,Nowata,6
1105,Nuckolls,1
1106,Nueces,17
1107,Nye,29
1108,O'Brien,23
1109,Oakland,4389
1110,Obion,11
1111,Obrien,1
1112,Ocean,1820
1113,Oceana,9
1114,Oconee,1443
1115,Oconto,28
1116,Ogemaw,16
1117,Oglala Lakota,1
1118,Ogle,49
1119,Oglethorpe,18
1120,Ohio,367
1121,Okaloosa,2130
1122,Okanogan,14
1123,Okeechobee,93
1124,Okfuskee,7
1125,Oklahoma,3174
1126,Okmulgee,8
1127,Oktibbeha,8
1128,Oldham,70
1129,Oliver,3
1130,Olmsted,1789
1131,Oneida,3036
1132,Onondaga,3782
1133,Onslow,90
1134,Ontario,589
1135,Ontonagon,1
1136,Orange,114917
1137,Orangeburg,2637
1138,Orleans,16278
1139,Osage,35
1140,Osceola,8347
1141,Oscoda,2
1142,Oswego,304
1143,Otero,135
1144,Otoe,19
1145,Otsego,107
1146,Ottawa,734
1147,Otter Tail,752
1148,Ouachita,127
1149,Ouray,20
1150,Outagamie,191
1151,Overton,13
1152,Owen,22
1153,Owyhee,33
1154,Oxford,34
1155,Ozark,4
1156,Ozaukee,76
1157,Pacific,190
1158,Page,229
1159,Palm Beach,10426
1160,Palo Alto,19
1161,Palo Pinto,15
1162,Pamlico,11
1163,Panola,28
1164,Park,907
1165,Parke,20
1166,Parker,153
1167,Pasco,7724
1168,Pasquotank,27
1169,Passaic,2076
1170,Patrick,67
1171,Paulding,70
1172,Pawnee,18
1173,Payette,149
1174,Payne,8
1175,Peach,186
1176,Pearl River,49
1177,Pecos,11
1178,Pembina,13
1179,Pemiscot,15
1180,Pend Oreille,23
1181,Pender,322
1182,Pendleton,16
